taxon,pourcentage de secteurs à confirmer
Veronica hederifolia subsp. triloba (Opiz) Čelak.,1
Salix alpina Scop.,1
Festuca intercedens (Hack.) Lüdi,0.89
Taraxacum aquilonare Hand.-Mazz.,0.88
Stachys recta subsp. grandiflora (Caruel) Arcang.,0.88
Carduus defloratus subsp. crassifolius (Willd.) Hayek,0.83
Koeleria eriostachya Pančić,0.82
Festuca stenantha (Hack.) K. Richt.,0.8
Festuca ticinensis (Markgr.-Dann.) Markgr.-Dann.,0.8
Minuartia stricta (Sw.) Hiern,0.8
Pritzelago alpina subsp. brevicaulis (Spreng.) Greuter & Burdet,0.79
Hieracium schmidtii aggr.,0.79
Gentiana aspera Hegetschw.,0.78
Hieracium saussureoides (Arv.-Touv.) Arv.-Touv.,0.76
Erigeron gaudinii Brügger,0.75
Danthonia alpina Vest,0.75
Helianthemum apenninum (L.) Mill.,0.75
Taraxacum schroeterianum Hand.-Mazz.,0.74
Rosa tomentella Léman,0.72
Iberis pinnata L.,0.71
Filago lutescens Jord.,0.71
Ornithopus perpusillus L.,0.71
Euphrasia picta Wimm. subsp. picta,0.7
Festuca brevipila R. Tracey,0.7
Arenaria marschlinsii W. D. J. Koch,0.7
Taraxacum fontanum aggr.,0.69
Juncus tenageia L. f.,0.69
Leontodon hispidus subsp. hyoseroides (Rchb.) Murr,0.68
Cystopteris dickieana R. Sim,0.68
Epilobium lanceolatum Sebast. & Mauri,0.67
Festuca rupicola Heuff.,0.66
Scleranthus annuus subsp. polycarpos (L.) Bonnier & Layens,0.65
Leucanthemum heterophyllum (Willd.) DC.,0.65
Pyrus nivalis Jacq.,0.65
Festuca halleri All. subsp. halleri,0.64
Festuca halleri All.,0.64
Achillea stricta Gremli,0.64
Minuartia rupestris (Scop.) Schinz & Thell.,0.64
Festuca rupicaprina (Hack.) A. Kern.,0.63
Taraxacum cucullatum aggr.,0.63
Malus sylvestris (L.) Mill.,0.62
Veronica serpyllifolia subsp. humifusa (Dicks.) Syme,0.62
Carex atrata L. subsp. atrata,0.62
Euphrasia pectinata Ten.,0.62
Cardamine rivularis auct.,0.62
Taraxacum alpinum aggr.,0.61
Helianthemum nummularium subsp. tomentosum (Scop.) Schinz & Thell.,0.61
Pulicaria vulgaris Gaertn.,0.61
Viola canina L. subsp. canina,0.6
Carex atrata subsp. aterrima (Hoppe) Hartm.,0.6
Alchemilla splendens aggr.,0.6
Salix caesia Vill.,0.6
Festuca laevigata Gaudin,0.59
Centaurea scabiosa subsp. alpestris (Hegetschw.) Nyman,0.59
Carduus defloratus subsp. tridentinus (Evers) Murr,0.59
Montia fontana L.,0.59
Pedicularis rostratospicata subsp. helvetica (Steininger) O. Schwarz,0.59
Juncus monanthos Jacq.,0.59
Cerastium brachypetalum subsp. tenoreanum (Ser.) Soó,0.59
Diphasiastrum ×issleri (Rouy) Holub,0.59
Gentiana anisodonta Borbás,0.59
Heracleum sphondylium subsp. elegans (Crantz) Schübl. & G. Martens,0.58
Pinus mugo Turra subsp. mugo,0.58
Carex brunnescens (Pers.) Poir.,0.58
Phleum bertolonii DC.,0.58
Verbascum thapsus subsp. montanum (Schrad.) Bonnier & Layens,0.58
Leontodon incanus (L.) Schrank subsp. incanus,0.58
Achillea roseoalba Ehrend.,0.58
Polycnemum majus A. Braun,0.58
Minuartia biflora (L.) Schinz & Thell.,0.58
Orobanche lucorum F. W. Schultz,0.58
Arnoseris minima (L.) Schweigg. & Körte,0.58
Alchemilla fissa aggr.,0.57
Festuca alpina Suter,0.57
Scleranthus annuus L. subsp. annuus,0.57
Ranunculus breyninus Crantz,0.57
Callitriche cophocarpa Sendtn.,0.57
Agrostis schleicheri Jord. & Verl.,0.57
Viola pinnata L.,0.57
Aconitum variegatum subsp. rostratum (DC.) Gáyer,0.57
Potamogeton ×angustifolius Bercht. & J. Presl,0.57
Orobanche salviae F. W. Schultz,0.57
Hypochaeris glabra L.,0.57
Sonchus arvensis L. subsp. arvensis,0.56
Euphrasia hirtella Reut.,0.56
Trifolium pratense subsp. nivale (W. D. J. Koch) Ces.,0.56
Euphrasia alpina Lam.,0.56
Festuca filiformis Pourr.,0.56
Galium tricornutum Dandy,0.56
Koeleria hirsuta Gaudin,0.56
Ranunculus polyanthemophyllus W. Koch & H. E. Hess,0.56
Draba thomasii W. D. J. Koch,0.56
Stellaria nemorum L. subsp. nemorum,0.55
Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman,0.55
Potentilla brauneana Hoppe,0.55
Arenaria multicaulis L.,0.55
Calamagrostis pseudophragmites (Haller f.) Koeler,0.55
Odontites vernus (Bellardi) Dumort.,0.55
Salix waldsteiniana Willd.,0.55
Hieracium glaucum All.,0.55
Stellaria nemorum subsp. montana (Pierrat) Berher,0.55
Polygonum lapathifolium subsp. brittingeri (Opiz) Jáv.,0.55
Phleum rhaeticum (Humphries) Rauschert,0.54
Ranunculus serpens Schrank,0.54
Astragalus australis (L.) Lam.,0.54
Rosa abietina Christ,0.54
Monotropa hypophegea Wallr.,0.54
Thalictrum simplex L.,0.54
Rumex pulcher L.,0.54
Hieracium racemosum aggr.,0.54
Hypericum maculatum Crantz subsp. maculatum,0.53
Hieracium bifidum aggr.,0.53
Arctostaphylos alpina (L.) Spreng.,0.53
Draba dubia Suter,0.53
Cystopteris montana (Lam.) Desv.,0.53
Euphrasia picta Wimm.,0.53
Pyrola media Sw.,0.53
Rosa villosa L.,0.53
Leontodon hispidus subsp. pseudocrispus (Bisch.) Murr,0.53
Carex demissa Hornem.,0.53
Hyoscyamus niger L.,0.53
Iberis amara L.,0.53
Linaria angustissima (Loisel.) Re,0.53
Schoenoplectus triqueter (L.) Palla,0.53
Poa trivialis subsp. sylvicola (Guss.) H. Lindb.,0.53
Thymus praecox subsp. polytrichus (Borbás) Jalas,0.52
Verbascum thapsus L. subsp. thapsus,0.52
Cystopteris alpina (Lam.) Desv.,0.52
Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher,0.52
Vaccaria hispanica (Mill.) Rauschert,0.52
Poa hybrida Gaudin,0.52
Poa glauca Vahl,0.52
Carex mucronata All.,0.52
Xanthium strumarium L.,0.52
Meum athamanticum Jacq.,0.52
Veronica acinifolia L.,0.52
Najas minor All.,0.52
Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,0.51
Pritzelago alpina (L.) Kuntze subsp. alpina,0.51
Ballota nigra subsp. meridionalis (Bég.) Bég.,0.51
Poa minor Gaudin,0.51
Circaea ×intermedia Ehrh.,0.51
Arctium nemorosum Lej.,0.51
Carex lachenalii Schkuhr,0.51
Rosa agrestis Savi,0.51
Chenopodium murale L.,0.51
Vicia cracca subsp. incana (Gouan) Rouy,0.51
Alchemilla glabra aggr.,0.5
Alchemilla pentaphyllea L.,0.5
Draba siliquosa M. Bieb.,0.5
Saussurea alpina (L.) DC. subsp. alpina,0.5
Catabrosa aquatica (L.) P. Beauv.,0.5
Viola pyrenaica DC.,0.5
Thymus pulegioides subsp. carniolicus (Borbás) P. A. Schmidt,0.5
Calamintha nepeta (L.) Savi,0.5
Allium lineare L.,0.5
Euphrasia cisalpina Pugsley,0.5
Schoenoplectus pungens (Vahl) Palla,0.5
Orobanche picridis F. W. Schultz,0.5
Cerastium arvense subsp. suffruticosum (L.) Ces.,0.5
Isoëtes echinospora Durieu,0.5
Ligusticum lucidum Mill.,0.5
