lon,lat,place,ws
7.253285000000002,47.138823000000002,jura-2,ws151
7.791570000000000,46.685609999999997,sundgraben-port,ws572
7.252867300000000,47.137584699999998,salome-3,ws151
7.252759900000000,47.137272600000003,salome-4,ws151
7.252618500000000,47.136619200000013,alleestrasse-4,ws151
7.261209800000000,47.143164200000008,energie-1,ws151
7.268129900000000,47.153188299999997,boujean-1,ws154
7.268255099999998,47.153190000000002,boujean-2,ws154
7.267379400000002,47.146386800000002,bluets-2,ws151
7.261146200000000,47.143070399999999,energie-3,ws151
7.268205700000000,47.153129800000002,boujean-3,ws154
7.252672800000000,47.136287600000003,alleestrasse-3,ws151
7.252808700000000,47.135908899999997,alleestrasse-2,ws151
7.253001900000000,47.135752900000000,alleestrasse-1,ws151
7.268384200000002,47.152524000000000,schlosslistrasse,ws151
7.268879800000000,47.152290999999998,sonnenfeld-1,ws151
7.270930400000000,47.149452400000001,college,ws151
7.252741100000000,47.137471499999997,salome-5,ws151
7.267114200000002,47.146202000000002,bluets-3,ws151
7.270673100000000,47.148008300000001,football-1,ws151
7.270646200000000,47.148247300000001,football-3,ws151
7.270375400000000,47.147826000000002,football-2,ws151
7.270121900000000,47.147608900000002,football-4,ws151
7.269864400000000,47.147419200000002,football-5,ws151
7.271020000000000,47.149911200000012,schlosslifeld-2,ws151
7.270712200000000,47.150702400000000,schlosslifeld-3,ws151
7.270183800000002,47.151210800000001,schlosslifeld-1,ws151
7.269338200000000,47.152001700000007,sonnenfeld-2,ws151
7.253058200000000,47.137335700000001,cygnes-lot-1,ws151
7.249405500000000,47.171443200000013,frinvillier-fabrique-2,ws151
7.248372800000000,47.172566400000001,frinvillier-fabrique-1,ws151
7.252955500000000,47.137609200000000,cygnes-lot-2,ws151
7.252793800000000,47.137203800000002,cygnes-lot-3,ws151
7.253133300000000,47.137255699999997,cygnes-lot-4,ws151
7.265759800000000,47.145085500000000,schussinsel-1,ws151
7.265497800000000,47.145038599999999,schussinsel-2,ws151
7.253418200000000,47.137381099999999,cygnes-lot-5,ws151
7.253209300000000,47.137895800000003,cygnes,ws151
7.270949300000000,47.148877400000003,lezard-1,ws151
7.255681100000000,47.140148600000003,cff-lot-1,ws151
7.255021200000000,47.139940600000003,cff-lot-2,ws151
7.252415200000002,47.171107499999998,transjurane-tunnel,ws154
7.246014400000000,47.178622599999997,rondchatel,ws154
7.233561300000000,47.162853000000013,orvin-petit-moulin,ws151
6.777865299999998,46.815594400000002,cheyres-path,ws226
6.774843400000002,46.813844000000003,cheyres-reserve,ws226
7.796074800000000,46.685987300000001,sundgraben-gorge,ws572
7.795710000000002,46.685551300000000,sundgraben-forest-left,ws572
7.796025800000000,46.685362800000000,sundgraben-forest-right,ws572
7.253458400000000,47.139109699999999,cff-path-1,ws151
7.268194000000000,47.146413799999998,schussinsel-3,ws151
7.253165000000000,47.137455299999999,cygnes-lot-6,ws151
7.135875600000000,47.083975799999997,ligerz-favorite,ws151
7.252964100000002,47.137413100000003,cygnes-lot-7,ws151
7.252821900000000,47.137328799999992,cygnes-lot-8,ws151
7.153849800000000,47.091818400000001,twann-estuary,ws151
7.147640000000000,47.096340000000019,twann-gorges,ws151
7.252670100000000,47.137259100000001,salome-1,ws151
7.253160400000000,47.138913399999993,jura-1,ws151
7.255884300000000,47.140074400000003,cff-path-2,ws151
7.256480300000000,47.140318999999998,cff-path-3,ws151
7.256495500000000,47.140861700000002,sureaux,ws151
7.795509700000002,46.685236900000000,sundgraben-bridge-left,ws572
7.268477900000002,47.153027299999998,buren-1,ws154
7.269041900000002,47.152380000000001,buren-2,ws154
7.269573000000000,47.152029800000001,buren-3,ws154
7.263241000000002,47.144303999999998,chapelle,ws151
7.264084700000002,47.144203300000001,schussinsel-4,ws151
7.263652900000002,47.144163200000001,schussinsel-5,ws151
7.263274900000002,47.144054400000002,schussinsel-6,ws151
7.261401400000002,47.143514600000003,hayek-1,ws151
7.262887400000002,47.143979799999997,swatch-2,ws151
7.261873500000000,47.143788299999997,swatch-1,ws151
7.820558800000002,46.674982600000000,weissenau,ws573
7.265898000000000,47.144603400000001,chemin-de-la-course,ws151
7.266904900000000,47.146285399999996,bluets-1,ws151
7.269151000000000,47.146782899999998,truite-1,ws151
7.269311300000000,47.146901900000003,truite-2,ws151
7.268999500000000,47.146453899999997,truite-3,ws151
7.268751300000000,47.146313399999997,truite-4,ws151
7.267939200000002,47.145999500000002,truite-5,ws151
7.259862800000000,47.142396499999997,rue-de-leau-1,ws151
7.259480900000002,47.142366099999997,rue-de-leau-2,ws151
7.259220699999998,47.142380699999997,rue-de-leau-3,ws151
7.258799600000000,47.142355100000003,rue-de-leau-4,ws151
7.257984300000000,47.142232900000003,rue-de-leau-5,ws151
7.257158100000000,47.141955699999997,strom,ws151
7.261268600000000,47.143315600000001,energie-2,ws151
7.256676100000000,47.141660999999999,dam,ws151
7.252815900000000,47.137458899999999,salome-2,ws151
7.252640300000000,47.134387200000006,chemin-des-voies,ws151
7.253178800000000,47.169282399999993,frinvillier-ramp,ws154
7.249775400000000,47.131623700000013,rue-alfred-aebi,ws151
7.250483500000000,47.132791500000003,rue-centrale,ws151
7.794934600000000,46.684191600000013,sundgraben-beach,ws572
7.263152900000002,47.143746800000002,gottstatt-2,ws151
7.262560799999998,47.143707599999999,gottstatt-1,ws151
7.264103000000000,47.143911899999999,gottstatt-3,ws151
7.269767200000000,47.147352699999999,football-6,ws151
7.268442400000000,47.153054100000013,buren-2,ws154
7.270979600000000,47.148783000000002,lezard-2,ws151
7.254484000000000,47.141870099999998,parc-muni,ws151
7.264775800000000,47.155455000000003,taubenloch-1,ws151
7.264843099999998,47.157319100000002,taubenloch-2,ws154
